Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides PM1_rep_1	Peptides PM1_rep_2	Peptides PM1_rep_3	Peptides PM2_rep_1	Peptides PM2_rep_2	Peptides PM2_rep_3	Razor + unique peptides PM1_rep_1	Razor + unique peptides PM1_rep_2	Razor + unique peptides PM1_rep_3	Razor + unique peptides PM2_rep_1	Razor + unique peptides PM2_rep_2	Razor + unique peptides PM2_rep_3	Unique peptides PM1_rep_1	Unique peptides PM1_rep_2	Unique peptides PM1_rep_3	Unique peptides PM2_rep_1	Unique peptides PM2_rep_2	Unique peptides PM2_rep_3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type PM1_rep_1	Identification type PM1_rep_2	Identification type PM1_rep_3	Identification type PM2_rep_1	Identification type PM2_rep_2	Identification type PM2_rep_3	Sequence coverage PM1_rep_1 [%]	Sequence coverage PM1_rep_2 [%]	Sequence coverage PM1_rep_3 [%]	Sequence coverage PM2_rep_1 [%]	Sequence coverage PM2_rep_2 [%]	Sequence coverage PM2_rep_3 [%]	Intensity	Intensity PM1_rep_1	Intensity PM1_rep_2	Intensity PM1_rep_3	Intensity PM2_rep_1	Intensity PM2_rep_2	Intensity PM2_rep_3	LFQ intensity MME rep_1	LFQ intensity MME rep_2	LFQ intensity MME rep_3	LFQ intensity PME rep_1	LFQ intensity PME rep_2	LFQ intensity PME rep_3	MS/MS count PM1_rep_1	MS/MS count PM1_rep_2	MS/MS count PM1_rep_3	MS/MS count PM2_rep_1	MS/MS count PM2_rep_2	MS/MS count PM2_rep_3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
LOC_Os02g57240.1	LOC_Os02g57240.1	4	4	4	"LOC_Os02g57240.1 LOC_Os02g57240.1|13102.m06586|protein oxidoreductase, aldo/keto reductase family protein, putative, expressed"	1	4	4	4	4	4	4	1	2	1	4	4	4	1	2	1	4	4	4	1	2	1	11	11	11	36.449	328	328	0	9.1298	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	11	11	11	2.1	5.5	2.1	266440000	69898000	72096000	77930000	15701000	20998000	9820200	55539000	55804000	87251000	0	27178000	0	2	2	4	0	0	0	8				1094	431;4259;8626;12980	True;True;True;True	451;4512;9117;13869	2556;2557;2558;25535;25536;25537;25538;25539;25540;51856;51857;51858;51859;78731;78732;78733	1925;1926;18918;18919;38513;58275;58276;58277	1926;18918;38513;58277		
LOC_Os02g57260.1	LOC_Os02g57260.1	13	13	13	"LOC_Os02g57260.1 LOC_Os02g57260.1|13102.m06589|protein 3-ketoacyl-CoA thiolase, peroxisomal precursor, putative, expressed"	1	13	13	13	12	12	13	12	10	12	12	12	13	12	10	12	12	12	13	12	10	12	42	42	42	46.829	448	448	0	169.29	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	38.6	41.1	42	41.7	33.9	38.6	9808900000	2214100000	2332000000	2165200000	1170100000	903070000	1024500000	2035000000	2051600000	1955600000	667380000	624030000	637890000	15	16	15	11	10	10	77				1095	33;2307;2850;4567;5183;5374;5731;7213;8056;12490;14282;15488;15955	True;True;True;True;True;True;True;True;True;True;True;True;True	39;2452;3040;4835;5482;5685;6066;7631;8517;13356;13357;15249;16557;17044	226;227;228;229;230;231;14002;14003;14004;14005;14006;14007;14008;14009;14010;14011;17431;17432;17433;17434;17435;17436;27351;27352;27353;27354;27355;27356;30857;30858;30859;30860;30861;30862;31980;31981;31982;31983;31984;34450;34451;34452;34453;34454;34455;43398;43399;43400;43401;43402;43403;43404;43405;43406;43407;43408;43409;48515;48516;48517;48518;75968;75969;75970;75971;75972;75973;75974;75975;75976;75977;75978;75979;75980;75981;75982;75983;75984;75985;75986;75987;75988;87072;87073;87074;94701;94702;94703;94704;94705;97810;97811;97812;97813;97814;97815	180;181;182;183;10341;10342;10343;10344;10345;10346;10347;10348;12947;12948;20239;20240;20241;20242;20243;20244;22850;22851;22852;22853;22854;22855;23704;23705;23706;25567;25568;25569;25570;25571;25572;32312;32313;32314;32315;32316;32317;32318;32319;32320;32321;32322;32323;32324;36130;36131;36132;56326;56327;56328;56329;56330;56331;56332;56333;56334;56335;56336;56337;56338;56339;56340;64864;64865;64866;70647;70648;70649;73189;73190;73191;73192;73193	182;10345;12948;20241;22852;23706;25570;32322;36131;56334;64865;70648;73191	441	330
LOC_Os02g57280.1;LOC_Os02g57280.5;LOC_Os02g57280.4;LOC_Os02g57280.7;LOC_Os02g57280.6;LOC_Os02g57280.8	LOC_Os02g57280.1;LOC_Os02g57280.5;LOC_Os02g57280.4;LOC_Os02g57280.7;LOC_Os02g57280.6	5;4;4;3;3;2	5;4;4;3;3;2	5;4;4;3;3;2	"LOC_Os02g57280.1 LOC_Os02g57280.1|13102.m06592|protein CBS domain containing membrane protein, putative, expressed;LOC_Os02g57280.5 LOC_Os02g57280.5|13102.m06597|protein CBS domain containing membrane protein, putative, expressed;LOC_Os02g57280.4 LOC_Os02g"	6	5	5	5	3	3	3	4	4	5	3	3	3	4	4	5	3	3	3	4	4	5	34.4	34.4	34.4	22.928	212	212;197;199;190;190;173	0	13.735	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16	16	16	29.2	29.2	34.4	1812300000	332430000	321910000	340530000	250660000	250730000	316020000	239420000	220580000	232950000	162060000	150680000	159320000	3	4	4	3	3	4	21				1096	1574;6556;8475;11915;14426	True;True;True;True;True	1676;6931;6932;8961;12737;15406	9640;9641;9642;9643;9644;9645;39387;39388;39389;39390;39391;39392;39393;39394;39395;39396;39397;39398;50983;50984;50985;72348;72349;72350;72351;72352;72353;88003	7150;7151;7152;7153;29115;29116;29117;29118;29119;29120;29121;29122;29123;29124;37880;37881;37882;53571;53572;53573;65560	7152;29115;37882;53571;65560	442	156
LOC_Os02g57290.4;LOC_Os02g57290.3;LOC_Os02g57290.2;LOC_Os02g57290.1	LOC_Os02g57290.4;LOC_Os02g57290.3;LOC_Os02g57290.2;LOC_Os02g57290.1	3;3;3;3	3;3;3;3	3;3;3;3	"LOC_Os02g57290.4 LOC_Os02g57290.4|13102.m06603|protein cytochrome P450, putative, expressed;LOC_Os02g57290.3 LOC_Os02g57290.3|13102.m06602|protein cytochrome P450, putative, expressed;LOC_Os02g57290.2 LOC_Os02g57290.2|13102.m06601|protein cytochrome P450, "	4	3	3	3	2	2	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	7.6	7.6	7.6	69.861	643	643;643;643;643	0	5.132	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.1	5.1	3	2.5	4.7	2.5	181550000	43545000	42293000	37495000	17354000	27804000	13059000	0	0	0	0	17759000	0	1	0	1	1	1	1	5				1097	229;12695;16719	True;True;True	245;13573;17843	1421;1422;1423;77096;77097;77098;102377;102378;102379	1045;1046;57080;76702;76703	1046;57080;76702		
LOC_Os02g57390.1	LOC_Os02g57390.1	1	1	1	"LOC_Os02g57390.1 LOC_Os02g57390.1|13102.m06614|protein pumilio-family RNA binding protein, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.1	2.1	2.1	108.53	1001	1001	0.0002942	2.6948	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	2.1	2.1	2.1	2.1	2.1	2.1	290220000	56656000	49697000	57185000	35040000	41113000	50527000	0	0	0	0	0	33023000	1	0	0	0	0	0	1				1098	8532	TRUE	9019	51323;51324;51325;51326;51327;51328	38143;38144	38143		
LOC_Os02g57510.4;LOC_Os02g57510.3;LOC_Os02g57510.2;LOC_Os02g57510.1	LOC_Os02g57510.4;LOC_Os02g57510.3;LOC_Os02g57510.2;LOC_Os02g57510.1	1;1;1;1	1;1;1;1	1;1;1;1	"LOC_Os02g57510.4 LOC_Os02g57510.4|13102.m06638|protein SNARE domain containing protein, putative, expressed;LOC_Os02g57510.3 LOC_Os02g57510.3|13102.m06641|protein SNARE domain containing protein, putative, expressed;LOC_Os02g57510.2 LOC_Os02g57510.2|13102."	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.3	20.3	20.3	13.502	118	118;118;122;122	0	4.8547	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	20.3	20.3	20.3	20.3	20.3	20.3	156360000	30060000	25514000	31027000	18592000	25770000	25401000	0	0	0	0	0	16601000	1	1	0	0	0	0	2				1099	1668	TRUE	1778	10143;10144;10145;10146;10147;10148	7517;7518	7517		
LOC_Os02g57590.1;LOC_Os05g08360.1;LOC_Os02g57590.3;LOC_Os02g57590.2;LOC_Os05g08360.2	LOC_Os02g57590.1;LOC_Os05g08360.1;LOC_Os02g57590.3;LOC_Os02g57590.2;LOC_Os05g08360.2	5;5;3;3;3	5;5;3;3;3	5;5;3;3;3	"LOC_Os02g57590.1 LOC_Os02g57590.1|13102.m06653|protein rRNA 2-O-methyltransferase fibrillarin 2, putative, expressed;LOC_Os05g08360.1 LOC_Os05g08360.1|13105.m00919|protein rRNA 2-O-methyltransferase fibrillarin 2, putative, expressed;LOC_Os02g57590.3 LOC_O"	5	5	5	5	3	3	3	4	4	5	3	3	3	4	4	5	3	3	3	4	4	5	19.9	19.9	19.9	32.403	306	306;309;227;236;261	0	43.451	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.4	15.4	15.4	16.3	16.3	19.9	1440600000	79449000	95369000	94388000	348250000	348890000	474240000	68153000	74220000	77718000	274770000	295540000	221800000	2	2	3	6	5	6	24				1100	360;8088;8984;11055;14166	True;True;True;True;True	379;8551;9486;11827;15128	2144;2145;2146;2147;2148;2149;48747;48748;48749;48750;48751;48752;48753;48754;48755;54017;54018;54019;54020;54021;54022;66972;66973;66974;86342;86343;86344;86345	1581;1582;1583;1584;1585;36306;36307;36308;36309;36310;36311;36312;36313;36314;40085;40086;40087;40088;49566;49567;49568;64298;64299;64300	1583;36313;40087;49567;64299		
LOC_Os02g57640.1	LOC_Os02g57640.1	4	4	4	"LOC_Os02g57640.1 LOC_Os02g57640.1|13102.m06663|protein KH domain containing protein, putative, expressed"	1	4	4	4	2	2	3	3	2	2	2	2	3	3	2	2	2	2	3	3	2	2	15.7	15.7	15.7	36.718	343	343	0	28.961	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.3	7.3	9.6	13.4	9.9	9.9	491880000	95538000	113200000	106040000	58258000	58290000	60554000	99060000	106800000	97840000	0	0	0	2	1	1	2	1	2	9				1101	1203;8055;10165;10929	True;True;True;True	1271;8516;10729;11684	7284;48512;48513;48514;60869;60870;60871;60872;60873;60874;66194;66195;66196;66197	5370;36129;45033;45034;45035;45036;45037;45038;48977;48978	5370;36129;45033;48977	443	104
LOC_Os02g57670.1	LOC_Os02g57670.1	6	6	6	"LOC_Os02g57670.1 LOC_Os02g57670.1|13102.m06666|protein ribosomal L9, putative, expressed"	1	6	6	6	5	5	5	6	6	6	5	5	5	6	6	6	5	5	5	6	6	6	35.8	35.8	35.8	20.784	187	187	0	18.903	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	30.5	30.5	30.5	35.8	35.8	35.8	9131600000	600210000	562430000	689450000	2480300000	2520500000	2278700000	735670000	676310000	766480000	1395900000	1427400000	1451800000	3	3	3	4	5	5	23				1102	1642;3449;10164;11637;11917;14832	True;True;True;True;True;True	1749;3662;10728;12441;12739;15839	9998;9999;10000;10001;10002;10003;20802;20803;20804;60863;60864;60865;60866;60867;60868;70535;70536;70537;70538;70539;70540;72357;72358;72359;72360;72361;72362;90567;90568;90569;90570;90571;90572	7414;7415;7416;7417;7418;7419;15457;15458;15459;45027;45028;45029;45030;45031;45032;52261;52262;52263;53577;67574;67575;67576;67577;67578	7419;15458;45032;52262;53577;67577		
LOC_Os02g57710.1	LOC_Os02g57710.1	1	1	1	"LOC_Os02g57710.1 LOC_Os02g57710.1|13102.m06672|protein signal peptide peptidase-like 2B, putative, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.8	1.8	1.8	59.885	545	545	0.00030166	2.8776	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	1.8	1.8	1.8	1.8	1.8	1.8	174270000	29242000	32674000	35917000	24714000	27267000	24457000	0	0	0	0	0	15984000	1	1	1	0	0	0	3				1103	14570	TRUE	15561	88860;88861;88862;88863;88864;88865	66208;66209;66210	66210		
LOC_Os02g57840.2;LOC_Os02g57840.1	LOC_Os02g57840.2;LOC_Os02g57840.1	2;2	2;2	2;2	"LOC_Os02g57840.2 LOC_Os02g57840.2|13102.m06690|protein remorin C-terminal domain containing protein, putative, expressed;LOC_Os02g57840.1 LOC_Os02g57840.1|13102.m06689|protein remorin C-terminal domain containing protein, putative, expressed"	2	2	2	2	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	20.1	20.1	20.1	19.369	179	179;179	0	9.1235		By MS/MS	By matching	By MS/MS		By matching	0	11.7	11.7	8.4	0	8.4	95767000	0	19418000	22893000	21743000	0	31713000	0	0	21763000	0	0	0	0	1	0	0	0	0	1				1104	238;1428	True;True	254;1524	1454;1455;8850;8851	1068;6598	1068;6598	444	91
LOC_Os04g05080.1;LOC_Os02g57854.2;LOC_Os02g57854.1	LOC_Os04g05080.1;LOC_Os02g57854.2;LOC_Os02g57854.1	2;2;2	2;2;2	2;2;2	"LOC_Os04g05080.1 LOC_Os04g05080.1|13104.m00430|protein vacuolar ATP synthase subunit F, putative, expressed;LOC_Os02g57854.2 LOC_Os02g57854.2|13102.m06693|protein vacuolar ATP synthase subunit F, putative, expressed;LOC_Os02g57854.1 LOC_Os02g57854.1|13102."	3	2	2	2	2	2	2	1	1	0	2	2	2	1	1	0	2	2	2	1	1	0	25.5	25.5	25.5	5.8596	51	51;51;130	0	7.2947	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		25.5	25.5	25.5	25.5	25.5	0	481220000	151110000	138080000	136250000	31414000	24363000	0	147780000	133570000	130250000	0	0	0	1	2	2	1	1	0	7				1105	16612;16613	True;True	17732;17733	101726;101727;101728;101729;101730;101731;101732;101733	76212;76213;76214;76215;76216;76217;76218	76213;76216		
LOC_Os02g58020.3;LOC_Os02g58020.2;LOC_Os02g58020.1	LOC_Os02g58020.3;LOC_Os02g58020.2;LOC_Os02g58020.1	4;4;4	4;4;4	4;4;4	"LOC_Os02g58020.3 LOC_Os02g58020.3|13102.m06717|protein ABC transporter, ATP-binding protein, putative, expressed;LOC_Os02g58020.2 LOC_Os02g58020.2|13102.m06716|protein ABC transporter, ATP-binding protein, putative, expressed;LOC_Os02g58020.1 LOC_Os02g5802"	3	4	4	4	3	4	4	3	3	2	3	4	4	3	3	2	3	4	4	3	3	2	7.9	7.9	7.9	64.787	580	580;692;722	0	27.812	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.7	7.9	7.9	6.7	6.7	4.8	897360000	136990000	218870000	213670000	117130000	113680000	97022000	184510000	166220000	164440000	74368000	86615000	81484000	2	1	1	2	1	2	9				1106	8946;11004;12993;15612	True;True;True;True	9447;11761;13882;16685	53799;53800;53801;53802;53803;53804;66580;66581;66582;66583;66584;78806;78807;78808;95538;95539;95540;95541;95542	39931;39932;39933;39934;49267;58358;58359;71339;71340	39931;49267;58359;71340		
LOC_Os02g58090.1	LOC_Os02g58090.1	1	1	1	"LOC_Os02g58090.1 LOC_Os02g58090.1|13102.m06725|protein PSP domain containing protein, expressed"	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	66.077	582	582	0.0074493	1.6807	By matching	By matching	By matching	By MS/MS	By matching	By matching	2.7	2.7	2.7	2.7	2.7	2.7	187800000	15033000	27800000	15043000	57280000	46144000	26502000	0	0	0	0	0	17321000	0	0	0	1	0	0	1				1107	11793	TRUE	12608	71533;71534;71535;71536;71537;71538	52969	52969		
LOC_Os02g58110.1	LOC_Os02g58110.1	1	1	1	LOC_Os02g58110.1 LOC_Os02g58110.1|13102.m06727|protein expressed protein	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	2	65.309	592	592	0.0094004	1.592			By MS/MS				0	0	2	0	0	0	331330000	0	0	331330000	0	0	0	0	0	314970000	0	0	0	0	0	1	0	0	0	1				1108	14377	TRUE	15354	87674	65300	65300		
LOC_Os02g58300.1	LOC_Os02g58300.1	2	2	2	LOC_Os02g58300.1 LOC_Os02g58300.1|13102.m06753|protein expressed protein	1	2	2	2	0	0	0	0	2	2	0	0	0	0	2	2	0	0	0	0	2	2	9	9	9	45.748	423	423	0	4.0857					By MS/MS	By MS/MS	0	0	0	0	9	9	173460000	0	0	0	0	156290000	17173000	0	0	0	0	99827000	0	0	0	0	0	1	2	3				1109	2585;12549	True;True	2744;13420	15706;15707;76334;76335	11586;11587;56581	11586;56581		
LOC_Os02g58310.3;LOC_Os02g58310.1;LOC_Os02g58310.2	LOC_Os02g58310.3;LOC_Os02g58310.1;LOC_Os02g58310.2	3;3;3	3;3;3	3;3;3	LOC_Os02g58310.3 LOC_Os02g58310.3|13102.m12473|protein expressed protein;LOC_Os02g58310.1 LOC_Os02g58310.1|13102.m06754|protein expressed protein;LOC_Os02g58310.2 LOC_Os02g58310.2|13102.m12472|protein expressed protein	3	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	23.6	23.6	23.6	22.881	203	203;225;306	0	36.06	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	23.6	17.7	17.7	23.6	23.6	23.6	1635500000	227210000	199320000	209930000	359770000	338530000	300740000	262110000	204580000	207450000	183110000	176670000	155040000	5	4	4	5	5	5	28				1110	1836;10067;12539	True;True;True	1956;1957;10628;13410	11192;11193;11194;11195;11196;11197;11198;11199;11200;11201;11202;11203;60306;60307;60308;60309;60310;60311;60312;60313;60314;60315;60316;60317;76288;76289;76290;76291	8281;8282;8283;8284;8285;8286;8287;8288;8289;8290;8291;8292;44626;44627;44628;44629;44630;44631;44632;44633;44634;44635;44636;44637;56547;56548;56549;56550	8292;44632;56550	445	188
LOC_Os02g58340.1	LOC_Os02g58340.1	13	13	13	"LOC_Os02g58340.1 LOC_Os02g58340.1|13102.m06757|protein oligopeptidase, putative, expressed"	1	13	13	13	10	9	8	12	13	12	10	9	8	12	13	12	10	9	8	12	13	12	25.2	25.2	25.2	86.217	770	770	0	53.437	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.7	16.4	14.7	23.9	25.2	23.9	2548200000	207450000	231260000	221280000	539240000	606730000	742200000	283610000	299260000	267930000	317760000	316650000	349210000	7	4	4	8	11	10	44				1111	2785;3133;3941;4723;4827;6000;6442;7523;8469;8581;8956;10320;14258	True;True;True;True;True;True;True;True;True;True;True;True;True	2971;3333;4180;5003;5115;6353;6810;7954;8954;9070;9458;10900;15224	17021;17022;17023;19043;19044;19045;19046;19047;19048;23750;23751;23752;28259;28260;28261;28262;28852;28853;28854;28855;28856;28857;36050;36051;36052;36053;36054;36055;38691;38692;38693;38694;45244;45245;45246;50951;50952;50953;50954;50955;50956;51612;51613;51614;51615;51616;51617;51618;53856;53857;53858;53859;53860;53861;61742;61743;61744;61745;61746;61747;86931;86932;86933;86934;86935;86936	12623;12624;14222;14223;14224;14225;14226;14227;17683;17684;17685;20904;20905;20906;20907;21353;21354;21355;21356;26770;26771;26772;26773;26774;26775;28626;33700;33701;33702;37860;37861;37862;38345;38346;38347;38348;38349;38350;39962;39963;39964;45669;45670;64755;64756;64757	12623;14226;17685;20906;21356;26774;28626;33701;37860;38348;39964;45669;64755		
LOC_Os02g58410.1	LOC_Os02g58410.1	1	1	1	LOC_Os02g58410.1 LOC_Os02g58410.1|13102.m06764|protein expressed protein	1	1	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0.5	0.5	0.5	240.53	2142	2142	0.0042701	1.9439		By MS/MS					0	0.5	0	0	0	0	8119500	0	8119500	0	0	0	0	0	7700800	0	0	0	0	0	1	0	0	0	0	1				1112	12809	TRUE	13693	77770	57549	57549		
LOC_Os02g58460.1	LOC_Os02g58460.1	1	1	1	"LOC_Os02g58460.1 LOC_Os02g58460.1|13102.m06769|protein beta-catenin-like protein 1, putative, expressed"	1	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	6	6	6	57.903	516	516	0	4.023					By matching	By MS/MS	0	0	0	0	6	6	57767000	0	0	0	0	25402000	32364000	0	0	0	0	0	21152000	0	0	0	0	0	1	1				1113	7974	TRUE	8428	47981;47982	35744	35744		
LOC_Os02g58480.1	LOC_Os02g58480.1	4	3	3	"LOC_Os02g58480.1 LOC_Os02g58480.1|13102.m06771|protein sucrose synthase, putative, expressed"	1	4	3	3	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	6.4	5.1	5.1	96.152	846	846	0	11.198	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.4	6.4	6.4	6.4	6.4	6.4	602790000	115760000	111440000	118850000	101950000	82544000	72234000	135180000	111240000	105000000	57509000	49998000	39796000	1	1	3	2	2	3	12				1114	970;8801;11259;16343	True;True;True;False	1019;9300;12045;17451	5852;5853;5854;5855;5856;5857;52922;52923;52924;52925;52926;52927;68139;68140;68141;68142;68143;68144;100154;100155;100156;100157;100158;100159	4368;4369;4370;4371;4372;39289;39290;39291;39292;50445;50446;50447;50448;74967;74968;74969;74970	4369;39292;50447;74967		
LOC_Os02g58510.1	LOC_Os02g58510.1	7	7	7	"LOC_Os02g58510.1 LOC_Os02g58510.1|13102.m06774|protein GHMP kinases ATP-binding protein, putative"	1	7	7	7	5	4	6	7	6	6	5	4	6	7	6	6	5	4	6	7	6	6	35.4	35.4	35.4	37.812	378	378	0	42.367	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.9	15.9	31.2	35.4	31.2	32.3	2885200000	352650000	328490000	357370000	620840000	650790000	575050000	398970000	450660000	344470000	306460000	330190000	356510000	5	4	6	4	5	7	31				1115	1345;1719;5734;8811;10665;11191;13532	True;True;True;True;True;True;True	1436;1833;6069;9310;11388;11971;14446	8276;8277;8278;8279;8280;8281;10527;10528;10529;10530;34463;34464;34465;34466;34467;34468;34469;34470;52965;52966;64508;64509;64510;64511;64512;67700;67701;67702;67703;67704;82124;82125;82126;82127;82128;82129	6154;6155;6156;7792;7793;7794;7795;25577;25578;25579;25580;25581;25582;25583;25584;39320;39321;47762;47763;47764;47765;50107;50108;50109;50110;60853;60854;60855;60856;60857;60858	6156;7795;25577;39320;47763;50110;60858	446	345
LOC_Os02g58530.1	LOC_Os02g58530.1	1	1	1	"LOC_Os02g58530.1 LOC_Os02g58530.1|13102.m06776|protein transporter family protein, putative, expressed"	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1.1	1.1	1.1	68.827	652	652	1	-2						By MS/MS	0	0	0	0	0	1.1	48829000	0	0	0	0	0	48829000	0	0	0	0	0	31912000	0	0	0	0	0	1	1	+			1116	14418	TRUE	15398	87968	65542	65542	447	208
LOC_Os02g58550.2;LOC_Os02g58550.1	LOC_Os02g58550.2;LOC_Os02g58550.1	4;4	4;4	4;4	"LOC_Os02g58550.2 LOC_Os02g58550.2|13102.m06779|protein chloroplast channel forming outer membrane protein, putative, expressed;LOC_Os02g58550.1 LOC_Os02g58550.1|13102.m06778|protein chloroplast channel forming outer membrane protein, putative, expressed"	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	28.6	28.6	28.6	20.948	185	185;185	0	42.445	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.6	28.6	28.6	28.6	28.6	28.6	2166000000	250340000	267200000	261940000	483630000	455060000	447850000	224480000	204770000	230110000	307990000	300630000	277640000	6	3	2	3	2	4	20				1117	816;3837;10604;11075	True;True;True;True	860;4070;4071;11309;11848	4835;4836;4837;4838;4839;4840;23138;23139;23140;23141;23142;23143;23144;23145;23146;23147;23148;23149;64073;64074;64075;64076;64077;64078;67072;67073;67074;67075;67076;67077;67078;67079;67080;67081;67082;67083	3605;3606;3607;3608;17225;17226;17227;17228;47443;47444;47445;49655;49656;49657;49658;49659;49660;49661;49662;49663	3607;17225;47444;49661	448	175
LOC_Os02g58560.3;LOC_Os02g58560.1;LOC_Os06g08380.1	LOC_Os02g58560.3;LOC_Os02g58560.1;LOC_Os06g08380.1	2;2;1	2;2;1	2;2;1	"LOC_Os02g58560.3 LOC_Os02g58560.3|13102.m12474|protein 1,3-beta-glucan synthase component, putative, expressed;LOC_Os02g58560.1 LOC_Os02g58560.1|13102.m06782|protein 1,3-beta-glucan synthase component, putative, expressed;LOC_Os06g08380.1 LOC_Os06g08380.1|"	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.7	2.7	2.7	89.35	776	776;894;1919	0.00029753	2.7588	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	1.7	1.7	1.7	1	1	1	122690000	17635000	23456000	21316000	18140000	14355000	27783000	0	0	20264000	0	0	0	0	1	0	1	1	1	4				1118	2887;10997	True;True	3077;11754	17649;17650;17651;66549;66550;66551	13153;49247;49248;49249	13153;49248		
LOC_Os02g58590.1	LOC_Os02g58590.1	9	9	9	"LOC_Os02g58590.1 LOC_Os02g58590.1|13102.m06787|protein N-acetylglucosaminyltransferase I, putative, expressed"	1	9	9	9	6	7	5	6	5	6	6	7	5	6	5	6	6	7	5	6	5	6	23.3	23.3	23.3	51.506	442	442	0	18.072	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	14.3	16.3	11.8	14.3	11.5	15.8	1447400000	234170000	262650000	214020000	267130000	222340000	247150000	209740000	227280000	225690000	163200000	160210000	172720000	2	5	3	2	4	4	20				1119	1149;7085;7324;7508;7654;12874;13799;14394;16230	True;True;True;True;True;True;True;True;True	1210;7489;7747;7939;8090;13760;14736;15372;17336	6957;42692;42693;42694;42695;42696;42697;44070;44071;44072;44073;44074;44075;45137;45938;45939;78136;78137;78138;84030;84031;84032;84033;87764;87765;87766;87767;87768;87769;87770;87771;87772;87773;87774;87775;99442;99443;99444;99445;99446;99447	5139;31821;31822;31823;32850;32851;33593;34207;57819;57820;62468;62469;65371;65372;65373;65374;65375;65376;65377;65378;74434	5139;31822;32851;33593;34207;57819;62468;65378;74434		
LOC_Os02g58640.1	LOC_Os02g58640.1	4	4	4	"LOC_Os02g58640.1 LOC_Os02g58640.1|13102.m06792|protein tumor susceptibility gene 101, putative, expressed"	1	4	4	4	1	2	3	3	2	2	1	2	3	3	2	2	1	2	3	3	2	2	12.7	12.7	12.7	43.735	402	402	0	11.664	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.7	6.2	9	10	7.2	7.2	238970000	24258000	50766000	48744000	54990000	32297000	27915000	0	40016000	39516000	23683000	33380000	31468000	0	0	1	3	1	1	6				1120	849;12619;12959;13128	True;True;True;True	895;13493;13848;14025	5084;5085;5086;5087;5088;76714;78617;78618;78619;79539;79540;79541;79542	3784;56799;58197;58198;58199;58905	3784;56799;58199;58905		
